"DateTime";"Hinta"
"2023-03-27 08:00:00";6,96
"2023-03-27 09:00:00";8,25
"2023-03-27 10:00:00";10,76
"2023-03-27 11:00:00";10,18
"2023-03-27 12:00:00";8,9
"2023-03-27 13:00:00";7,51
"2023-03-27 14:00:00";6,04
"2023-03-27 15:00:00";4,72
"2023-03-27 16:00:00";5,06
"2023-03-27 17:00:00";5,46
"2023-03-27 18:00:00";7,76
"2023-03-27 19:00:00";7,36
"2023-03-27 20:00:00";6,59
"2023-03-27 21:00:00";5,49
"2023-03-27 22:00:00";5,24
"2023-03-27 23:00:00";4,71
"2023-03-28 00:00:00";4,44
"2023-03-28 01:00:00";3,17
"2023-03-28 02:00:00";3,22
"2023-03-28 03:00:00";3,19
"2023-03-28 04:00:00";3,25
"2023-03-28 05:00:00";3,5
"2023-03-28 06:00:00";4,42
"2023-03-28 07:00:00";4,18
"2023-03-28 08:00:00";4,61
"2023-03-28 09:00:00";5,68
"2023-03-28 10:00:00";5,4
"2023-03-28 11:00:00";5,72
"2023-03-28 12:00:00";6,44
"2023-03-28 13:00:00";5,46
"2023-03-28 14:00:00";4,84
"2023-03-28 15:00:00";4,73
"2023-03-28 16:00:00";4,76
"2023-03-28 17:00:00";5,21
"2023-03-28 18:00:00";5,58
"2023-03-28 19:00:00";5,27
"2023-03-28 20:00:00";5,71
"2023-03-28 21:00:00";4,88
"2023-03-28 22:00:00";5,01
"2023-03-28 23:00:00";4,92
"2023-03-29 00:00:00";4,59
"2023-03-29 01:00:00";5,88
"2023-03-29 02:00:00";5,71
"2023-03-29 03:00:00";5,8
"2023-03-29 04:00:00";5,88
"2023-03-29 05:00:00";6,3
"2023-03-29 06:00:00";7,19
"2023-03-29 07:00:00";11,88
"2023-03-29 08:00:00";15,39
"2023-03-29 09:00:00";16,23
"2023-03-29 10:00:00";15,4
"2023-03-29 11:00:00";13,96
"2023-03-29 12:00:00";12,69
"2023-03-29 13:00:00";11,85
"2023-03-29 14:00:00";11,26
"2023-03-29 15:00:00";11,04
"2023-03-29 16:00:00";10,67
"2023-03-29 17:00:00";11,28
"2023-03-29 18:00:00";13,07
"2023-03-29 19:00:00";15,5
"2023-03-29 20:00:00";16,09
"2023-03-29 21:00:00";14,08
"2023-03-29 22:00:00";12,24
"2023-03-29 23:00:00";11,39
"2023-03-30 00:00:00";10,18
"2023-03-30 01:00:00";9,87
"2023-03-30 02:00:00";9,05
"2023-03-30 03:00:00";8,88
"2023-03-30 04:00:00";8,66
"2023-03-30 05:00:00";8,57
"2023-03-30 06:00:00";8,51
"2023-03-30 07:00:00";13,75
"2023-03-30 08:00:00";14,68
"2023-03-30 09:00:00";14,22
"2023-03-30 10:00:00";12,1
"2023-03-30 11:00:00";9,97
"2023-03-30 12:00:00";8,8
"2023-03-30 13:00:00";7,55
"2023-03-30 14:00:00";5,55
